"Wave","Domein","Subdomein","API-route","Methods","Auth","Bestand","Status"
"4","admin","srs-dataexport","/api/admin/srs-dataexport/file","GET","admin-token","admin/srs-dataexport/file.js","todo"
"4","admin","srs-dataexport","/api/admin/srs-dataexport/list","GET","admin-token","admin/srs-dataexport/list.js","todo"
"4","declarations","","/api/declarations","GET","open/store","declarations.js","todo"
"4","declarations","","/api/declarations/status","GET/POST","open/store","declarations/status.js","todo"
"4","declarations","","/api/declarations/submit","POST","open/store","declarations/submit.js","todo"
"5","admin","facilitair","/api/admin/facilitair/pick","POST","admin-token","admin/facilitair/pick.js","todo"
"5","admin","facilitair","/api/admin/facilitair/process","POST","admin-token","admin/facilitair/process.js","todo"
"5","admin","notifications","/api/admin/notifications/send","POST","admin-token","admin/notifications/send.js","todo"
"5","admin","students","/api/admin/students/omzet","GET","admin-token","admin/students/omzet.js","todo"
"5","admin","students","/api/admin/students/rebuild","GET/POST","admin-token","admin/students/rebuild.js","todo"
"5","facilitair","","/api/facilitair/orders","GET/POST","open/store","facilitair/orders.js","todo"
"5","facilitair","","/api/facilitair/products","GET","open/store","facilitair/products.js","todo"
"5","faq","","/api/faq/list","GET","open/store","faq/list.js","todo"
"5","function-help","","/api/function-help/list","GET","open/store","function-help/list.js","todo"
"5","google-business","","/api/google-business/accounts","GET","admin-token","google-business/accounts.js","todo"
"5","google-business","","/api/google-business/reviews","GET","admin-token","google-business/reviews.js","todo"
"5","google-reviews","","/api/google-reviews/mark-seen","POST","open/store","google-reviews/mark-seen.js","todo"
"5","google-reviews","","/api/google-reviews/region-compare","GET","open/store","google-reviews/region-compare.js","todo"
"5","google-reviews","","/api/google-reviews/summary","GET","admin-token","google-reviews/summary.js","todo"
"5","notifications","","/api/notifications/archive","POST","open/store","notifications/archive.js","todo"
"5","notifications","","/api/notifications/list","GET","open/store","notifications/list.js","todo"
"5","notifications","","/api/notifications/mark-read","POST","open/store","notifications/mark-read.js","todo"
"5","notifications","","/api/notifications/unread","GET","open/store","notifications/unread.js","todo"
"5","push","","/api/push/subscribe","DELETE/POST","open/store","push/subscribe.js","todo"
"5","push","","/api/push/vapid-public-key","GET","open/store","push/vapid-public-key.js","todo"
"5","support","","/api/support/submit","POST","open/store","support/submit.js","todo"
"5","support","","/api/support/ticket-internal-note","DELETE/POST","open/store","support/ticket-internal-note.js","todo"
"5","support","","/api/support/ticket-reply","POST","open/store","support/ticket-reply.js","todo"
"5","support","","/api/support/ticket-status","POST","open/store","support/ticket-status.js","todo"
"5","support","","/api/support/tickets","GET","open/store","support/tickets.js","todo"
"6","admin","","/api/admin/activity-feed","GET","admin-token","admin/activity-feed.js","todo"
